Hasar Kaydı,KM,Garanti,Vites,Çekiş,Fiyatı,Motor Tipi,Üretim Yılı ,Motor Gücü,Şanzıman,Hızlanma 0-100 km/saat,Azami Sürat,Motor Hacmi,Yakıt Tipi,Ortalama 
0,123,Hayır,Yarı Otomatik,Önden Çekiş,577.900 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,93,Hayır,Yarı Otomatik,Önden Çekiş,425.000 TL,Benzinli / 4 silindir,2011 / 2014,180 hp,Powershift / 6 Vites / Önden Çekiş,"7,4 sn",225 km/saat,1595 cc,Benzinli,"7,6 lt"
1,256,Hayır,Yarı Otomatik,Önden Çekiş,415.500 TL,Benzinli / 4 silindir,2011 / 2014,180 hp,Powershift / 6 Vites / Önden Çekiş,"7,4 sn",225 km/saat,1595 cc,Benzinli,"7,6 lt"
0,83.6,Hayır,Otomatik,Önden Çekiş,669.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,185,Hayır,Yarı Otomatik,Önden Çekiş,350.000 TL,Dizel / 4 silindir,2012 / 2014,115 hp,Powershift / 6 Vites / Önden Çekiş,"10,9 sn",190 km/saat,1560 cc,Dizel,"4,3 lt"
0,70,Hayır,Otomatik,Önden Çekiş,760.000 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,74,Evet,Otomatik,Önden Çekiş,654.900 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,208,Hayır,Yarı Otomatik,Önden Çekiş,520.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,40,Evet,Otomatik,Önden Çekiş,648.950 TL,Benzinli / 4 silindir,2015 / 2019,152 hp,Geartronic / 6 Vites / Önden Çekiş,"8,6 sn",210 km/saat,1498 cc,Benzinli / EURO 6,"5,8 lt"
0,110,Hayır,Yarı Otomatik,Önden Çekiş,480.000 TL,Benzinli / 4 silindir,2011 / 2014,180 hp,Powershift / 6 Vites / Önden Çekiş,"7,4 sn",225 km/saat,1595 cc,Benzinli,"7,6 lt"
1,171,Hayır,Yarı Otomatik,Önden Çekiş,405.000 TL,Dizel / 4 silindir,2014 / 2016,115 hp,Powershift / 6 Vites / Önden Çekiş,"12,3 sn",190 km/saat,1560 cc,Dizel / EURO 5,"4,1 lt"
0,204,Evet,Yarı Otomatik,Önden Çekiş,470.000 TL,Dizel / 4 silindir,2015 / 2018,190 hp,Geartronic / 8 Vites / Önden Çekiş,"7,6 sn",230 km/saat,1969 cc,Dizel / EURO 6,"4,1 lt"
